Data,Confirmados,EmAnalise,Negativos,Obitos,Recuperados ,inconclusivos,UTIConfirmado
2020-05-04,505,402,1422,16,303,2,36
2020-05-05,511,333,1452,17,327,2,30
2020-05-06,519,281,1494,17,343,2,38
2020-05-07,562,318,1553,17,367,2,39
2020-05-08,582,361,1602,17,374,2,40
2020-05-09,590,467,1630,17,394,2,42
2020-05-10,603,459,1631,17,394,2,41
2020-05-11,644,652,1671,18,412,2,41
2020-05-12,660,226,1739,19,434,2,41
2020-05-13,723,89,1966,21,448,12,38
2020-05-14,760,1354,1982,21,455,7,36
2020-05-15,794,1702,2200,21,463,7,36
2020-05-16,814,1721,2202,21,463,7,44
2020-05-17,818,1721,2202,21,463,7,43
2020-05-18,843,1932,2226,24,493,7,45
2020-05-19,874,2194,2294,25,501,7,44
2020-05-20,897,2276,2315,26,537,8,45
2020-05-21,922,2530,2419,26,552,8,47
2020-05-22,934,2530,2419,26,552,8,48
2020-05-23,950,2787,2578,27,560,9,45
2020-05-24,983,2558,2737,29,560,10,44
2020-05-25,1014,2637,2931,32,564,10,42
2020-05-26,1049,2743,3056,32,573,10,43
2020-05-27,1098,2991,3061,34,591,10,46
2020-05-28,1130,2795,3181,34,595,10,42
2020-05-29,1196,2822,3325,34,601,10,40
2020-05-30,1207,2860,3325,35,601,12,49
2020-05-31,1236,2884,3331,36,601,12,48
2020-06-01,1265,3107,3331,39,601,12,45
2020-06-02,1315,3294,3443,41,617,11,46
2020-06-03,1367,3320,3475,41,617,11,47
2020-06-04,1489,3302,3549,43,617,11,44
2020-06-05,1577,3971,3806,44,619,11,46
2020-06-06,1602,3649,4127,44,619,11,46
2020-06-07,1672,3407,4127,44,619,11,54
2020-06-08,1712,4753,4127,45,619,11,62
2020-06-09,1761,4417,4227,48,619,11,60
2020-06-10,1850,4134,4541,50,619,11,67
2020-06-11,2047,4514,5294,51,619,11,69
2020-06-12,2082,4914,6805,51,796,11,66
2020-06-13,2108,4929,6821,51,796,11,72
2020-06-14,2122,4918,6821,53,838,11,76
2020-06-15,2280,4047,7421,57,841,11,79
2020-06-16,2383,4710,7804,58,841,11,76
2020-06-17,2445,5001,8078,58,841,11,81
2020-06-18,2633,5847,8532,63,841,11,75
2020-06-19,2564,5265,8495,65,1154,11,89
2020-06-20,2638,5308,8805,66,1154,11,91
2020-06-21,2774,5369,8995,66,1154,11,96
2020-06-22,2927,6068,9368,68,1196,11,102
2020-06-23,3057,5950,9740,68,1196,11,111
2020-06-24,3099,6708,9955,73,1196,11,105
2020-06-25,3171,6891,10270,75,1196,11,112
2020-06-26,3335,8162,11094,78,1280,11,112
2020-06-27,3359,7917,11551,80,1280,11,122
2020-06-28,3373,7884,11564,82,1280,11,137
2020-06-29,3475,8386,12127,89,1309,11,146
2020-06-30,3541,8801,12376,92,1309,11,137
2020-07-01,3624,8971,12786,94,1309,84,142
2020-07-02,3724,9179,13218,100,1309,84,165
2020-07-03,3816,8846,13497,106,2108,13,175
2020-07-04,3968,9111,14394,111,2108,13,177
2020-07-05,3992,9095,14414,118,2108,13,169
2020-07-06,4093,7013,14414,128,2224,35,179
2020-07-07,4140,7384,14659,137,2381,31,182
2020-07-08,4377,6620,15913,141,2430,38,193
2020-07-09,4489,7473,16388,148,2430,22,191
2020-07-10,4520,7834,16506,153,2533,21,209
2020-07-11,4689,7546,17266,157,2547,26,208
2020-07-12,4744,7292,17536,161,2556,26,218
2020-07-13,4826,7761,17992,174,2573,27,225
2020-07-14,5031,7955,18673,183,2807,29,235
2020-07-15,5104,6881,18867,185,2830,30,241
2020-07-16,5860,8185,18867,192,2993,15,252
2020-07-17,6148,10104,19219,199,3058,15,264
2020-07-18,6180,7718,19592,201,3070,16,265
2020-07-19,6337,9549,19598,212,3355,16,270
2020-07-20,6545,11897,19592,226,3670,16,282
2020-07-21,6728,12477,20726,237,3701,17,281
2020-07-22,6844,13390,20729,248,3719,17,285
2020-07-23,7033,13825,21156,257,3771,17,286